[0.010s] Invoking command in '/home/lucifer/dev_ws/build/dbot': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/lucifer/dev_ws/build/dbot -- -j16 -l16
[0.066s] Invoked command in '/home/lucifer/dev_ws/build/dbot' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/lucifer/dev_ws/build/dbot -- -j16 -l16
[0.074s] Invoking command in '/home/lucifer/dev_ws/build/dbot': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/lucifer/dev_ws/build/dbot
[0.080s] -- Install configuration: ""
[0.081s] -- Execute custom install script
[0.081s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/ball_tracker_params_robot.yaml
[0.082s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/ball_tracker_params_sim.yaml
[0.082s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/drive_bot.rviz
[0.082s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/empty.yaml
[0.082s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/gaz_ros2_ctl_use_sim.yaml
[0.082s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/gazebo_params.yaml
[0.082s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/joystick.yaml
[0.082s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/main.rviz
[0.082s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/map.rviz
[0.082s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/mapper_params_online_async.yaml
[0.082s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/my_controllers.yaml
[0.083s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/nav2_params.yaml
[0.083s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/twist_mux.yaml
[0.083s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/config/view_bot.rviz
[0.083s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/description/camera.xacro
[0.083s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/description/depth_camera.xacro
[0.083s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/description/face.xacro
[0.083s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/description/gazebo_control.xacro
[0.083s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/description/inertial_macros.xacro
[0.083s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/description/lidar.xacro
[0.083s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/description/robot.urdf.xacro
[0.083s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/description/robot_core.xacro
[0.083s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/description/ros2_control.xacro
[0.083s] -- Symlinking: /home/lucifer/dev_ws/install/dbot/share/dbot/launch/Nav2_launch.launch.py
[0.090s] -- Up-to-date symlink: /home/lucifer/dev_ws/install/dbot/share/dbot/launch/ball_tracker.launch.py
